mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.09371743202209473,0.0693833420725357,0.0032353878021240236,0.0007975701864020573,0.8,0.0,0.01,3,1,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 0.8}",0.9298611111111111,0.8517361111111111,0.9208333333333334,0.8378472222222222,0.8694444444444445,0.8819444444444444,0.036937003218860696,856,0.9587239583333333,0.9667317708333334,0.9619574652777777,0.9630425347222222,0.9637803819444444,0.9628472222222222,0.002599677844253859
0.056457138061523436,0.0005873675121076703,0.0029836177825927736,0.0004617699853935165,0.8,0.0,0.01,3,1,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 100, 'subsample': 1.0}",0.9201388888888888,0.8322916666666667,0.9076388888888889,0.8342013888888888,0.8574652777777778,0.8703472222222223,0.03685259703438839,947,0.9541775173611112,0.9614583333333333,0.9596679687499999,0.954416232638889,0.9597981770833333,0.9579036458333332,0.003012771860411808
0.10635957717895508,0.001143726826930672,0.0033765792846679687,0.0001720937343837163,0.8,0.0,0.01,3,1,200,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",0.9375,0.867013888888889,0.9343750000000001,0.8625,0.8729166666666666,0.8948611111111111,0.0337155459710125,396,0.9707682291666667,0.9777126736111111,0.9731770833333334,0.9748263888888888,0.9743923611111112,0.9741753472222221,0.0022622383825577873
0.10640268325805664,0.0016990975432501995,0.0034391403198242186,0.0002850615486477118,0.8,0.0,0.01,3,1,200,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",0.9395833333333334,0.8694444444444445,0.93125,0.8454861111111112,0.8538194444444445,0.8879166666666667,0.03962680361592158,684,0.9674479166666667,0.9725477430555556,0.9731336805555555,0.9712239583333333,0.9715711805555556,0.9711848958333335,0.0019885104728069244
0.1564237117767334,0.0020709592707254584,0.003843879699707031,0.0001225839366691987,0.8,0.0,0.01,3,1,300,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 0.8}",0.9475694444444445,0.8770833333333333,0.9409722222222222,0.8652777777777778,0.8756944444444444,0.9013194444444445,0.0353678857960016,198,0.9781901041666666,0.9844401041666666,0.9800130208333333,0.9828993055555556,0.980295138888889,0.9811675347222222,0.0022211623313349222
0.15628886222839355,0.001819001189234747,0.004028701782226562,0.00026945833651703725,0.8,0.0,0.01,3,1,300,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 300, 'subsample': 1.0}",0.9493055555555556,0.8774305555555556,0.9402777777777778,0.8565972222222222,0.8565972222222222,0.8960416666666667,0.04062505935418267,356,0.975173611111111,0.9824869791666668,0.9803819444444445,0.9815104166666667,0.9799696180555555,0.9799045138888889,0.0025243482415580154
0.05681533813476562,0.0007408173979180841,0.002724361419677734,0.0003340102328184125,0.8,0.0,0.01,3,3,100,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 0.8}",0.9246527777777778,0.8458333333333333,0.9246527777777778,0.8027777777777778,0.8788194444444445,0.8753472222222223,0.04692872435676347,924,0.9491536458333334,0.9609375,0.9550130208333333,0.9584635416666667,0.9516710069444445,0.9550477430555556,0.004301182429939581
0.0570223331451416,0.0004688426522007591,0.0031171798706054687,0.00024022072616323095,0.8,0.0,0.01,3,3,100,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 100, 'subsample': 1.0}",0.9166666666666666,0.8302083333333334,0.9208333333333334,0.8190972222222223,0.8800347222222222,0.8733680555555555,0.04237983420475144,933,0.9439995659722222,0.953537326388889,0.9513020833333333,0.9501627604166667,0.9455403645833332,0.948908420138889,0.003582468800899558
0.10610799789428711,0.00030319635116413406,0.0034933090209960938,0.00014519977253574023,0.8,0.0,0.01,3,3,200,0.8,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",0.9315972222222222,0.8559027777777778,0.9329861111111112,0.8326388888888889,0.888888888888889,0.8884027777777778,0.04004879835900198,669,0.9630859374999999,0.9708333333333333,0.9684461805555556,0.9707682291666667,0.9634114583333333,0.9673090277777778,0.0034265276711664757
0.1075094223022461,0.0018873434549798785,0.0035506248474121093,0.00021748137663698104,0.8,0.0,0.01,3,3,200,1.0,"{'colsample_bytree': 0.8, 'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",0.9329861111111112,0.8583333333333334,0.9364583333333334,0.8388888888888889,0.8635416666666667,0.8860416666666667,0.04060297361092392,753,0.9608506944444444,0.9639322916666667,0.9633680555555556,0.9688585069444444,0.9666449652777778,0.9647309027777776,0.002765932044666635
